Ref,Val,Package,PosX,PosY,Rot,Side
"R92","10k","R_0402_1005Metric",49.150000,-250.600000,180.000000,bottom
"R93","10k","R_0402_1005Metric",108.350000,-259.000000,180.000000,bottom
"R94","10k","R_0402_1005Metric",156.450000,-147.000000,180.000000,bottom
"R95","10k","R_0402_1005Metric",100.950000,-273.000000,180.000000,bottom
"R96","10k","R_0402_1005Metric",49.150000,-261.799999,180.000000,bottom
"R97","10k","R_0402_1005Metric",130.550000,-65.800000,180.000000,bottom
"R98","10k","R_0402_1005Metric",171.250000,-110.600000,180.000000,bottom
"R99","10k","R_0402_1005Metric",160.150000,-144.200000,180.000000,bottom
"R100","10k","R_0402_1005Metric",63.950000,-222.600000,180.000000,bottom
"R101","10k","R_0402_1005Metric",208.250000,-107.800000,180.000000,bottom
"R102","10k","R_0402_1005Metric",23.250000,-40.599999,180.000000,bottom
"R103","10k","R_0402_1005Metric",204.550000,-91.000000,180.000000,bottom
"R104","10k","R_0402_1005Metric",123.150000,-105.000000,180.000000,bottom
"R105","10k","R_0402_1005Metric",108.350000,-211.399999,180.000000,bottom
"R106","10k","R_0402_1005Metric",137.950000,-54.599999,180.000000,bottom
"R107","10k","R_0402_1005Metric",75.050000,-172.200000,180.000000,bottom
"R108","10k","R_0402_1005Metric",182.350000,-110.600000,180.000000,bottom
"R109","10k","R_0402_1005Metric",174.950000,-205.799999,180.000000,bottom
"R110","10k","R_0402_1005Metric",256.350000,-163.799999,180.000000,bottom
"R111","10k","R_0402_1005Metric",86.150000,-68.600000,180.000000,bottom
"R112","10k","R_0402_1005Metric",189.750000,-149.799999,180.000000,bottom
"R113","10k","R_0402_1005Metric",174.950000,-219.799999,180.000000,bottom
"R114","10k","R_0402_1005Metric",193.450000,-236.600000,180.000000,bottom
"R115","10k","R_0402_1005Metric",167.550000,-203.000000,180.000000,bottom
"R116","10k","R_0402_1005Metric",141.650000,-287.000000,180.000000,bottom
"R117","10k","R_0402_1005Metric",226.750000,-197.399999,180.000000,bottom
"R118","10k","R_0402_1005Metric",119.450000,-205.799999,180.000000,bottom
"R119","10k","R_0402_1005Metric",52.850000,-163.799999,180.000000,bottom
"R120","10k","R_0402_1005Metric",200.850000,-88.199999,180.000000,bottom
"R121","10k","R_0402_1005Metric",237.850000,-65.800000,180.000000,bottom
"R122","10k","R_0402_1005Metric",49.150000,-169.399999,180.000000,bottom
"R123","10k","R_0402_1005Metric",245.250000,-175.000000,180.000000,bottom
"R124","10k","R_0402_1005Metric",223.050000,-214.200000,180.000000,bottom
"R125","10k","R_0402_1005Metric",89.850000,-172.200000,180.000000,bottom
"R126","10k","R_0402_1005Metric",263.750000,-74.199999,180.000000,bottom
"R127","10k","R_0402_1005Metric",156.450000,-172.200000,180.000000,bottom
"R128","10k","R_0402_1005Metric",145.350000,-169.399999,180.000000,bottom
"R129","10k","R_0402_1005Metric",237.850000,-105.000000,180.000000,bottom
"R130","10k","R_0402_1005Metric",186.050000,-259.000000,180.000000,bottom
"R131","10k","R_0402_1005Metric",137.950000,-261.799999,180.000000,bottom
"R132","10k","R_0402_1005Metric",45.450000,-247.799999,180.000000,bottom
"R133","10k","R_0402_1005Metric",145.350000,-124.600000,180.000000,bottom
"R134","10k","R_0402_1005Metric",171.250000,-96.600000,180.000000,bottom
"R135","10k","R_0402_1005Metric",219.350000,-244.999999,180.000000,bottom
"R136","10k","R_0402_1005Metric",130.550000,-169.399999,180.000000,bottom
"R137","10k","R_0402_1005Metric",67.650000,-225.399999,180.000000,bottom
"R138","10k","R_0402_1005Metric",230.450000,-169.399999,180.000000,bottom
"R139","10k","R_0402_1005Metric",78.750000,-68.600000,180.000000,bottom
"R140","10k","R_0402_1005Metric",52.850000,-68.600000,180.000000,bottom
"R141","10k","R_0402_1005Metric",182.350000,-222.600000,180.000000,bottom
"R142","10k","R_0402_1005Metric",237.850000,-175.000000,180.000000,bottom
